movie_id,title,genres,year,director,avg_rating,n_ratings,poster_color,overview
34,Hidden Vessel,Western,1998,Lynch,3.8,930,#2b2d42,"A western film directed by Lynch, released in 1998. A gripping tale of survival and redemption."
35,Crown of Horizon,Comedy|Romance,1990,Kurosawa,2.7,1647,#4a1942,"A comedy film directed by Kurosawa, released in 1990. An explosive action-adventure with heart."
36,The Golden Ember,Drama,1976,Tarantino,4.2,730,#e76f51,"A drama film directed by Tarantino, released in 1976. A sharp and darkly comic thriller."
37,Ember of Echo,Western|Action,2005,Scorsese,3.0,1930,#023e8a,"A western film directed by Scorsese, released in 2005. A quiet, devastating character study."
38,Mirror of Mirror,Romance,1987,Villeneuve,3.3,1820,#0f3460,"A romance film directed by Villeneuve, released in 1987. A sweeping epic that spans decades."
39,Star of Machine,Western|Horror|Documentary,1976,Spielberg,4.5,584,#8d0801,"A western film directed by Spielberg, released in 1976. A sweeping epic that spans decades."
40,Lost Code,Documentary|Sci-Fi,1995,Villeneuve,3.9,1097,#533483,"A documentary film directed by Villeneuve, released in 1995. An explosive action-adventure with heart."
41,The Crimson Horizon,Drama|Action|Horror,2009,Kurosawa,4.2,1569,#264653,"A drama film directed by Kurosawa, released in 2009. A quiet, devastating character study."
42,Last Hollow Code,Romance|Adventure,2021,Lean,3.2,683,#e76f51,"A romance film directed by Lean, released in 2021. A quiet, devastating character study."
43,Forgotten Ancient Storm,Drama,2017,Villeneuve,4.1,1898,#8d0801,"A drama film directed by Villeneuve, released in 2017. A sweeping epic that spans decades."
44,Ancient Dark Shadow,Comedy|Drama,2012,Lynch,4.0,1002,#023e8a,"A comedy film directed by Lynch, released in 2012. A mystery that keeps you guessing."
45,The Infinite Hour,Animation|Romance|Adventure,1993,Coppola,4.0,1318,#3d405b,"A animation film directed by Coppola, released in 1993. An intimate portrait of human connection."
46,The Forgotten Mirror,Animation,1976,Nolan,3.1,1023,#1f2041,"A animation film directed by Nolan, released in 1976. An intimate portrait of human connection."
47,Phantom Twisted Kingdom,Sci-Fi|Drama|Fantasy,2000,Scorsese,2.8,1458,#1a1a2e,"A sci-fi film directed by Scorsese, released in 2000. An intimate portrait of human connection."
48,Golden Eternal Star,Action|Horror,1990,Lean,4.5,984,#2b2d42,"A action film directed by Lean, released in 1990. A mystery that keeps you guessing."
49,Labyrinth of Code,Horror|Drama|Western,2003,Lean,2.9,1814,#1b4332,"A horror film directed by Lean, released in 2003. A mystery that keeps you guessing."
50,Mirror of Signal,Fantasy|Romance|Comedy,1992,Anderson,2.7,635,#2a9d8f,"A fantasy film directed by Anderson, released in 1992. A sweeping epic that spans decades."
51,River of Vessel,Animation,1984,Scorsese,3.4,362,#264653,"A animation film directed by Scorsese, released in 1984. An intimate portrait of human connection."
52,Phantom Hollow Vessel,Drama|Action,1988,Chaplin,3.5,1903,#7b2d8b,"A drama film directed by Chaplin, released in 1988. A gripping tale of survival and redemption."
53,Distant Dark Crown,Thriller|Drama,2001,Coppola,4.2,1168,#1f2041,"A thriller film directed by Coppola, released in 2001. A sharp and darkly comic thriller."
54,Golden Crimson Garden,Action|Drama,1996,Kurosawa,4.1,878,#8d0801,"A action film directed by Kurosawa, released in 1996. A mystery that keeps you guessing."
55,The Wild Vessel,Drama,2012,Lynch,4.0,221,#e76f51,"A drama film directed by Lynch, released in 2012. A visually stunning journey into the unknown."
56,Eternal Silent Signal,Documentary|Comedy,2004,Fincher,3.3,1851,#f4a261,"A documentary film directed by Fincher, released in 2004. A sweeping epic that spans decades."
57,Crimson Last Hour,Sci-Fi,2009,Nolan,4.8,766,#2a9d8f,"A sci-fi film directed by Nolan, released in 2009. An intimate portrait of human connection."
58,Dark Mirror,Western,1976,Lynch,2.9,308,#1b4332,"A western film directed by Lynch, released in 1976. An intimate portrait of human connection."
59,The Burning Signal,Animation|Mystery,2013,Bergman,4.2,1642,#8d0801,"A animation film directed by Bergman, released in 2013. A sweeping epic that spans decades."
60,Twisted City,Mystery|Romance,1999,Villeneuve,4.7,456,#0f3460,"A mystery film directed by Villeneuve, released in 1999. A sharp and darkly comic thriller."
61,Forgotten Code,Thriller,2011,Hitchcock,2.6,1141,#e76f51,"A thriller film directed by Hitchcock, released in 2011. A quiet, devastating character study."
62,Infinite River,Western,2001,Chaplin,3.6,937,#81b29a,"A western film directed by Chaplin, released in 2001. A mystery that keeps you guessing."
63,The Phantom Ember,Horror|Romance|Crime,2014,Hitchcock,4.6,1636,#1b4332,"A horror film directed by Hitchcock, released in 2014. A mystery that keeps you guessing."
64,Twisted Crimson River,Western,1980,Kubrick,4.5,549,#023e8a,"A western film directed by Kubrick, released in 1980. An explosive action-adventure with heart."
65,City of Hour,Animation|Fantasy,1988,Fincher,4.3,747,#4a4e69,"A animation film directed by Fincher, released in 1988. A sweeping epic that spans decades."
66,Infinite Kingdom,Comedy,2021,Villeneuve,3.6,1602,#2a9d8f,"A comedy film directed by Villeneuve, released in 2021. A mystery that keeps you guessing."
67,Burning Dark Dream,Comedy|Drama,2019,Scorsese,3.2,1241,#81b29a,"A comedy film directed by Scorsese, released in 2019. A mystery that keeps you guessing."
68,Garden of Vessel,Documentary|Sci-Fi,2004,Kubrick,3.2,522,#533483,"A documentary film directed by Kubrick, released in 2004. A sharp and darkly comic thriller."
69,Echo of Vessel,Animation|Comedy|Thriller,2022,Anderson,3.1,1257,#6d2b3d,"A animation film directed by Anderson, released in 2022. A sweeping epic that spans decades."
70,Broken Shadow,Documentary,1986,Kubrick,2.5,1143,#2b2d42,"A documentary film directed by Kubrick, released in 1986. A sweeping epic that spans decades."
71,Silent Vessel,Sci-Fi|Animation,2015,Chaplin,4.2,260,#1a1a2e,"A sci-fi film directed by Chaplin, released in 2015. A sweeping epic that spans decades."
72,Distant Burning River,Action,1991,Chaplin,3.6,1733,#0f3460,"A action film directed by Chaplin, released in 1991. An explosive action-adventure with heart."
73,Last Twisted Horizon,Animation,2011,Kubrick,2.7,558,#533483,"A animation film directed by Kubrick, released in 2011. An explosive action-adventure with heart."
74,The Infinite Machine,Fantasy|Crime,2012,Villeneuve,3.2,1321,#16213e,"A fantasy film directed by Villeneuve, released in 2012. An intimate portrait of human connection."
75,The Broken Signal,Adventure|Animation|Comedy,1986,Coppola,2.7,55,#e76f51,"A adventure film directed by Coppola, released in 1986. A mystery that keeps you guessing."
76,Forgotten Silent Mirror,Sci-Fi|Crime,2019,Chaplin,3.5,1457,#2a9d8f,"A sci-fi film directed by Chaplin, released in 2019. A sweeping epic that spans decades."
77,The Phantom Echo,Comedy|Romance|Animation,1992,Chaplin,2.8,172,#8d0801,"A comedy film directed by Chaplin, released in 1992. A sweeping epic that spans decades."
78,Labyrinth of Echo,Sci-Fi|Crime,2019,Villeneuve,4.7,1074,#4a1942,"A sci-fi film directed by Villeneuve, released in 2019. A mystery that keeps you guessing."
79,Last Wild Horizon,Sci-Fi|Documentary,2013,Kubrick,2.6,518,#7b2d8b,"A sci-fi film directed by Kubrick, released in 2013. A gripping tale of survival and redemption."
80,Legacy of Horizon,Fantasy,2008,Kurosawa,3.5,619,#8d0801,"A fantasy film directed by Kurosawa, released in 2008. An explosive action-adventure with heart."
81,Last Distant Crown,Documentary|Western,2017,Spielberg,4.5,725,#e76f51,"A documentary film directed by Spielberg, released in 2017. A mystery that keeps you guessing."
82,Machine of Vessel,Fantasy,1980,Fincher,3.1,287,#f4a261,"A fantasy film directed by Fincher, released in 1980. A gripping tale of survival and redemption."
83,Phantom Silent Kingdom,Documentary|Mystery|Fantasy,2015,Anderson,4.2,466,#4a4e69,"A documentary film directed by Anderson, released in 2015. A visually stunning journey into the unknown."
84,Labyrinth of Hour,Action,2015,Lynch,4.3,1503,#8d0801,"A action film directed by Lynch, released in 2015. A sweeping epic that spans decades."
85,Ancient Garden,Comedy,1982,Anderson,4.7,1376,#2b2d42,"A comedy film directed by Anderson, released in 1982. A mystery that keeps you guessing."
86,Star of Signal,Western|Fantasy,2005,Scorsese,3.6,346,#f4a261,"A western film directed by Scorsese, released in 2005. A sharp and darkly comic thriller."
87,The Last Signal,Documentary|Thriller,2007,Kubrick,4.4,629,#22223b,"A documentary film directed by Kubrick, released in 2007. A mystery that keeps you guessing."
88,The Burning Vessel,Documentary|Western,2010,Hitchcock,3.7,982,#3d405b,"A documentary film directed by Hitchcock, released in 2010. A sharp and darkly comic thriller."
89,The Twisted Machine,Western,2024,Villeneuve,2.6,1575,#1b4332,"A western film directed by Villeneuve, released in 2024. An explosive action-adventure with heart."
90,Hidden Distant Horizon,Horror,2012,Fincher,4.5,1840,#023e8a,"A horror film directed by Fincher, released in 2012. An intimate portrait of human connection."
91,Dark Hidden Garden,Animation|Adventure|Fantasy,1991,Fincher,3.9,864,#0f3460,"A animation film directed by Fincher, released in 1991. A quiet, devastating character study."
92,Hollow Distant Vessel,Mystery,1979,Scorsese,4.0,1936,#22223b,"A mystery film directed by Scorsese, released in 1979. A sharp and darkly comic thriller."
93,Phantom Echo,Sci-Fi|Adventure|Fantasy,1985,Bergman,3.2,109,#16213e,"A sci-fi film directed by Bergman, released in 1985. A quiet, devastating character study."
94,Forgotten Crown,Drama|Animation,1990,Coppola,3.4,1446,#8d0801,"A drama film directed by Coppola, released in 1990. A visually stunning journey into the unknown."
95,The Last Code,Mystery|Romance,1990,Anderson,4.6,343,#2a9d8f,"A mystery film directed by Anderson, released in 1990. A mystery that keeps you guessing."
96,Labyrinth of Signal,Action|Thriller|Fantasy,1993,Kurosawa,3.8,201,#023e8a,"A action film directed by Kurosawa, released in 1993. A quiet, devastating character study."
97,Garden of Signal,Western|Crime,1987,Villeneuve,4.5,268,#2a9d8f,"A western film directed by Villeneuve, released in 1987. An explosive action-adventure with heart."
98,Legacy of Shadow,Crime|Action|Romance,2000,Kubrick,2.5,1821,#16213e,"A crime film directed by Kubrick, released in 2000. A mystery that keeps you guessing."
99,Mirror of Code,Comedy|Romance,1987,Lynch,3.1,1597,#2b2d42,"A comedy film directed by Lynch, released in 1987. An intimate portrait of human connection."
100,Forgotten Labyrinth,Mystery,1998,Bergman,2.8,1912,#22223b,"A mystery film directed by Bergman, released in 1998. A quiet, devastating character study."
101,Eternal Broken Storm,Documentary|Horror|Thriller,1992,Chaplin,2.9,1921,#1b4332,"A documentary film directed by Chaplin, released in 1992. A sweeping epic that spans decades."
102,Echo of Labyrinth,Animation,2023,Scorsese,4.5,1533,#f4a261,"A animation film directed by Scorsese, released in 2023. A quiet, devastating character study."
103,Electric City,Horror|Adventure,2004,Fincher,4.0,1426,#4a4e69,"A horror film directed by Fincher, released in 2004. An explosive action-adventure with heart."
104,Echo of Mirror,Action|Mystery,2010,Fincher,4.6,503,#0f3460,"A action film directed by Fincher, released in 2010. A mystery that keeps you guessing."
105,Garden of Echo,Action,1977,Kubrick,4.8,287,#533483,"A action film directed by Kubrick, released in 1977. A sharp and darkly comic thriller."
106,The Electric Labyrinth,Romance|Sci-Fi,2019,Coppola,3.5,1570,#2b2d42,"A romance film directed by Coppola, released in 2019. An explosive action-adventure with heart."
107,Distant Code,Crime|Action,2019,Fincher,3.0,960,#2a9d8f,"A crime film directed by Fincher, released in 2019. A quiet, devastating character study."
108,Sacred Vessel,Documentary|Action|Drama,1992,Scorsese,4.7,1993,#023e8a,"A documentary film directed by Scorsese, released in 1992. An intimate portrait of human connection."
109,The Wild City,Thriller,1996,Scorsese,4.8,1661,#7b2d8b,"A thriller film directed by Scorsese, released in 1996. A sharp and darkly comic thriller."
110,Ancient Kingdom,Comedy|Western|Documentary,2024,Tarantino,4.3,1270,#1a1a2e,"A comedy film directed by Tarantino, released in 2024. A sweeping epic that spans decades."
111,The Hidden Vessel,Thriller|Animation,1982,Kurosawa,4.5,319,#1a1a2e,"A thriller film directed by Kurosawa, released in 1982. A quiet, devastating character study."
112,The Twisted River,Animation,1991,Nolan,2.8,912,#6d2b3d,"A animation film directed by Nolan, released in 1991. An intimate portrait of human connection."
113,Distant Labyrinth,Horror|Mystery,1981,Anderson,3.7,1986,#1f2041,"A horror film directed by Anderson, released in 1981. A gripping tale of survival and redemption."
114,Labyrinth of City,Fantasy,2000,Villeneuve,4.1,1054,#023e8a,"A fantasy film directed by Villeneuve, released in 2000. An intimate portrait of human connection."
115,Hollow Code,Adventure,1983,Kubrick,3.9,1248,#4a1942,"A adventure film directed by Kubrick, released in 1983. A quiet, devastating character study."
116,Wild Infinite Shadow,Horror|Mystery,2002,Spielberg,4.3,284,#4a1942,"A horror film directed by Spielberg, released in 2002. A sharp and darkly comic thriller."
117,Burning Golden Garden,Western|Fantasy,2000,Villeneuve,4.2,690,#e76f51,"A western film directed by Villeneuve, released in 2000. A quiet, devastating character study."
118,Crown of Storm,Fantasy|Adventure|Thriller,1980,Spielberg,3.5,1574,#81b29a,"A fantasy film directed by Spielberg, released in 1980. A visually stunning journey into the unknown."
119,Twisted Vessel,Documentary|Romance|Adventure,2001,Fincher,4.5,1977,#e76f51,"A documentary film directed by Fincher, released in 2001. A gripping tale of survival and redemption."
120,Code of Shadow,Adventure|Mystery,2007,Scorsese,2.9,1037,#2a9d8f,"A adventure film directed by Scorsese, released in 2007. An intimate portrait of human connection."
121,Vessel of Crown,Thriller,1992,Lynch,3.0,928,#4a1942,"A thriller film directed by Lynch, released in 1992. A gripping tale of survival and redemption."
122,City of Ember,Sci-Fi|Thriller,1994,Lean,3.3,62,#8d0801,"A sci-fi film directed by Lean, released in 1994. A visually stunning journey into the unknown."
123,Last Hidden City,Sci-Fi,2008,Scorsese,3.4,979,#3d405b,"A sci-fi film directed by Scorsese, released in 2008. A visually stunning journey into the unknown."
124,Shadow of River,Mystery|Adventure|Action,1984,Tarantino,4.2,151,#0f3460,"A mystery film directed by Tarantino, released in 1984. A sweeping epic that spans decades."
125,Phantom Distant Code,Drama|Crime,1988,Hitchcock,3.7,756,#e76f51,"A drama film directed by Hitchcock, released in 1988. An intimate portrait of human connection."
126,Legacy of Hour,Romance|Crime|Action,1989,Villeneuve,4.8,162,#1a1a2e,"A romance film directed by Villeneuve, released in 1989. A sharp and darkly comic thriller."
127,Kingdom of Storm,Crime|Documentary,1982,Nolan,3.6,931,#8d0801,"A crime film directed by Nolan, released in 1982. A visually stunning journey into the unknown."
128,Ancient Golden Star,Western|Romance|Documentary,1979,Villeneuve,4.5,136,#e76f51,"A western film directed by Villeneuve, released in 1979. A gripping tale of survival and redemption."
129,Last Hollow Legacy,Mystery|Drama,2020,Kurosawa,3.5,285,#f4a261,"A mystery film directed by Kurosawa, released in 2020. A gripping tale of survival and redemption."
130,Ember of Code,Western|Sci-Fi,1998,Spielberg,3.5,266,#2a9d8f,"A western film directed by Spielberg, released in 1998. An explosive action-adventure with heart."
131,Infinite Last Machine,Sci-Fi|Documentary,1989,Fincher,4.3,206,#6d2b3d,"A sci-fi film directed by Fincher, released in 1989. An intimate portrait of human connection."
132,The Sacred Crown,Western|Romance|Animation,1990,Spielberg,2.8,454,#8d0801,"A western film directed by Spielberg, released in 1990. A visually stunning journey into the unknown."
133,Eternal Hour,Thriller|Mystery,2023,Lynch,3.5,1942,#7b2d8b,"A thriller film directed by Lynch, released in 2023. A quiet, devastating character study."
134,Storm of Labyrinth,Fantasy,2003,Kurosawa,3.2,612,#7b2d8b,"A fantasy film directed by Kurosawa, released in 2003. A gripping tale of survival and redemption."
135,Star of Dream,Fantasy|Western,1977,Nolan,3.3,637,#0f3460,"A fantasy film directed by Nolan, released in 1977. An intimate portrait of human connection."
136,Burning Twisted Vessel,Action|Fantasy|Mystery,2016,Scorsese,3.2,1024,#6d2b3d,"A action film directed by Scorsese, released in 2016. A visually stunning journey into the unknown."
137,Burning Echo,Sci-Fi|Adventure,2007,Kurosawa,2.9,557,#023e8a,"A sci-fi film directed by Kurosawa, released in 2007. A mystery that keeps you guessing."
138,Machine of Garden,Romance|Mystery,1978,Hitchcock,4.0,735,#0f3460,"A romance film directed by Hitchcock, released in 1978. A quiet, devastating character study."
139,Ancient Machine,Crime|Sci-Fi,2017,Lean,3.9,357,#3d405b,"A crime film directed by Lean, released in 2017. An intimate portrait of human connection."
140,Hidden Wild Dream,Horror|Drama,2016,Hitchcock,3.3,311,#6d2b3d,"A horror film directed by Hitchcock, released in 2016. An intimate portrait of human connection."
141,Infinite Sacred City,Crime|Animation,1988,Fincher,4.7,1045,#264653,"A crime film directed by Fincher, released in 1988. A sharp and darkly comic thriller."
142,The Hidden Dream,Western|Thriller,1981,Coppola,4.3,1760,#6d2b3d,"A western film directed by Coppola, released in 1981. A gripping tale of survival and redemption."
143,Code of Storm,Drama|Animation|Thriller,1986,Chaplin,4.1,1329,#8d0801,"A drama film directed by Chaplin, released in 1986. A mystery that keeps you guessing."
144,Phantom Crown,Sci-Fi|Comedy|Fantasy,2014,Kubrick,4.2,1655,#023e8a,"A sci-fi film directed by Kubrick, released in 2014. A sharp and darkly comic thriller."
145,The Forgotten Hour,Documentary,2018,Lynch,4.8,995,#22223b,"A documentary film directed by Lynch, released in 2018. An explosive action-adventure with heart."
146,Eternal Broken Code,Western,1991,Nolan,4.0,1840,#81b29a,"A western film directed by Nolan, released in 1991. An intimate portrait of human connection."
147,Forgotten Dream,Crime,2003,Lean,3.7,1751,#e76f51,"A crime film directed by Lean, released in 2003. An intimate portrait of human connection."
148,The Burning Crown,Drama,1978,Villeneuve,3.7,532,#f4a261,"A drama film directed by Villeneuve, released in 1978. An intimate portrait of human connection."
149,Mirror of City,Adventure|Sci-Fi,2016,Fincher,4.3,331,#16213e,"A adventure film directed by Fincher, released in 2016. A sweeping epic that spans decades."
150,Hidden Distant Labyrinth,Action|Adventure|Western,1991,Scorsese,4.4,1173,#1f2041,"A action film directed by Scorsese, released in 1991. An explosive action-adventure with heart."
151,Forgotten Mirror,Adventure|Action,1990,Villeneuve,4.0,1325,#023e8a,"A adventure film directed by Villeneuve, released in 1990. An intimate portrait of human connection."
152,Infinite Legacy,Sci-Fi,1984,Kubrick,3.5,1309,#81b29a,"A sci-fi film directed by Kubrick, released in 1984. A sharp and darkly comic thriller."
153,Eternal Last Star,Adventure|Horror,2009,Coppola,4.3,1089,#4a1942,"A adventure film directed by Coppola, released in 2009. A gripping tale of survival and redemption."
154,Distant Silent Machine,Crime|Sci-Fi,1976,Fincher,4.3,756,#2a9d8f,"A crime film directed by Fincher, released in 1976. An intimate portrait of human connection."
155,Storm of Horizon,Horror|Documentary,2016,Tarantino,4.4,1452,#023e8a,"A horror film directed by Tarantino, released in 2016. A mystery that keeps you guessing."
156,Silent Forgotten Kingdom,Thriller,1987,Lean,2.6,1961,#22223b,"A thriller film directed by Lean, released in 1987. An explosive action-adventure with heart."
157,Crimson Silent Kingdom,Documentary|Thriller,1978,Chaplin,4.0,609,#533483,"A documentary film directed by Chaplin, released in 1978. A quiet, devastating character study."
158,Electric Burning Machine,Animation|Fantasy,2019,Anderson,3.3,1682,#6d2b3d,"A animation film directed by Anderson, released in 2019. A sweeping epic that spans decades."
159,Phantom Dream,Mystery|Animation,2009,Kubrick,3.2,213,#3d405b,"A mystery film directed by Kubrick, released in 2009. A sweeping epic that spans decades."
160,Eternal Burning Crown,Action|Sci-Fi,1997,Lynch,4.8,612,#16213e,"A action film directed by Lynch, released in 1997. An intimate portrait of human connection."
161,Sacred Infinite Ember,Animation,2013,Kurosawa,4.3,121,#2b2d42,"A animation film directed by Kurosawa, released in 2013. An intimate portrait of human connection."
162,Twisted Silent Code,Romance,2003,Fincher,3.4,1612,#0f3460,"A romance film directed by Fincher, released in 2003. A visually stunning journey into the unknown."
163,Machine of River,Crime|Comedy|Adventure,1976,Bergman,2.9,1110,#f4a261,"A crime film directed by Bergman, released in 1976. An intimate portrait of human connection."
164,Signal of Labyrinth,Mystery,1993,Bergman,4.6,1055,#264653,"A mystery film directed by Bergman, released in 1993. An intimate portrait of human connection."
165,The Last Labyrinth,Sci-Fi,2003,Spielberg,4.4,1781,#3d405b,"A sci-fi film directed by Spielberg, released in 2003. A quiet, devastating character study."
166,Ancient Vessel,Crime|Animation,2020,Bergman,4.6,1356,#8d0801,"A crime film directed by Bergman, released in 2020. A quiet, devastating character study."
167,The Lost Kingdom,Comedy,2006,Nolan,3.3,1222,#81b29a,"A comedy film directed by Nolan, released in 2006. A mystery that keeps you guessing."
168,The Wild Dream,Crime,2000,Bergman,4.2,1126,#e76f51,"A crime film directed by Bergman, released in 2000. An explosive action-adventure with heart."
169,Hidden River,Adventure|Fantasy|Thriller,2018,Coppola,3.3,1848,#4a1942,"A adventure film directed by Coppola, released in 2018. A visually stunning journey into the unknown."
170,The Phantom Star,Western,1982,Coppola,2.9,387,#8d0801,"A western film directed by Coppola, released in 1982. A quiet, devastating character study."
171,The Sacred Star,Western|Adventure,1991,Scorsese,4.0,1178,#4a4e69,"A western film directed by Scorsese, released in 1991. A visually stunning journey into the unknown."
172,Code of Vessel,Horror,2016,Tarantino,3.9,1239,#2b2d42,"A horror film directed by Tarantino, released in 2016. A visually stunning journey into the unknown."
173,Last Horizon,Thriller|Mystery|Crime,2016,Scorsese,4.3,903,#1f2041,"A thriller film directed by Scorsese, released in 2016. A gripping tale of survival and redemption."
174,Ancient Forgotten Shadow,Comedy|Thriller,2018,Villeneuve,3.2,199,#16213e,"A comedy film directed by Villeneuve, released in 2018. A visually stunning journey into the unknown."
175,Phantom Distant Labyrinth,Documentary,2013,Tarantino,3.2,1521,#3d405b,"A documentary film directed by Tarantino, released in 2013. A quiet, devastating character study."
176,Hidden Sacred Star,Adventure|Documentary|Comedy,2004,Spielberg,3.1,557,#2b2d42,"A adventure film directed by Spielberg, released in 2004. An intimate portrait of human connection."
177,Forgotten Machine,Drama|Comedy|Animation,1995,Lean,3.8,690,#264653,"A drama film directed by Lean, released in 1995. A visually stunning journey into the unknown."
178,Infinite Burning Hour,Fantasy|Action,1980,Villeneuve,3.7,543,#264653,"A fantasy film directed by Villeneuve, released in 1980. A quiet, devastating character study."
179,Silent Shadow,Mystery|Romance,2018,Anderson,3.2,66,#533483,"A mystery film directed by Anderson, released in 2018. An explosive action-adventure with heart."
180,The Crimson Crown,Documentary|Action,2000,Nolan,3.8,448,#81b29a,"A documentary film directed by Nolan, released in 2000. A sweeping epic that spans decades."
181,Electric Star,Thriller|Horror,1992,Chaplin,4.8,1443,#1f2041,"A thriller film directed by Chaplin, released in 1992. An intimate portrait of human connection."
182,The Lost Machine,Thriller|Documentary,2010,Fincher,4.2,457,#1f2041,"A thriller film directed by Fincher, released in 2010. An explosive action-adventure with heart."
183,Silent Horizon,Sci-Fi,1996,Hitchcock,3.6,985,#2b2d42,"A sci-fi film directed by Hitchcock, released in 1996. A visually stunning journey into the unknown."
184,Code of River,Drama,2014,Bergman,4.4,1265,#3d405b,"A drama film directed by Bergman, released in 2014. A mystery that keeps you guessing."
